FIPS,Data
12099,66506
12099,59989
12099,57256
12101,48658
12101,49832
12101,48289
12103,54771
12103,50993
12103,48968
12105,53185
12105,49515
12105,45988
12107,41590
12107,39035
12107,33619
12109,73940
12109,70603
12109,73640
12111,53667
12111,50923
12111,47132
12113,61811
12113,62115
12113,62731
12115,61923
12115,55646
12115,55236
12117,72799
12117,66444
12117,60739
12119,47336
12119,48538
12119,54771
12121,44222
12121,40958
12121,40600
12123,44324
12123,42148
12123,37188
12125,51011
12125,47090
12125,n/a
12127,51979
12127,50026
12127,43838
12129,54827
12129,60055
12129,57866
12131,47829
12131,53263
12131,50619
12133,41209
12133,40805
12133,36989
13001,44669
13001,40736
13001,37089
13003,39067
13003,38121
13003,33063
13005,39716
13005,35412
13005,38824
13007,44775
13007,n/a
13007,43867
13009,51890
13009,41956
13009,37008
13011,56855
13011,45581
13011,42182
13013,66443
13013,55162
13013,56119
13015,64437
13015,55452
13015,52393
13017,39996
13017,33952
13017,32344
13019,44341
13019,36283
13019,38297
13021,50965
13021,43714
13021,38183
13023,49365
13023,n/a
13023,40688
13025,44809
13025,42075
13025,36812
13027,39717
13027,46544
13027,n/a
13029,71351
13029,71258
13029,68589
13031,43537
13031,38677
13031,39305
13033,41143
13033,37356
13033,38707
13035,58857
13035,58879
13035,39655
13037,36289
13037,n/a
13037,29617
13039,60594
13039,55468
13039,53687
13043,36929
13043,40368
13043,33125
13045,57263
13045,51332
13045,46844
13047,59032
13047,52442
13047,54537
13049,41131
13049,46026
13049,43257
13051,55717
13051,50621
13051,52215
13053,54764
13053,57563
13053,46096
13055,45256
13055,36527
13055,35718
13057,89875
13057,74724
13057,75477
13059,41919
13059,38593
13059,34557
13061,31655
13061,29576
13061,n/a
13063,63016
13063,48799
13063,44106
13065,39487
13065,n/a
13065,n/a
13067,86028
13067,73825
13067,72004
13069,45324
13069,39663
13069,36572
13071,42120
13071,37071
13071,34503
13073,82180
13073,74738
13073,74162
13075,40708
13075,35368
13075,35539
13077,77788
13077,69349
13077,67570
13079,55859
13079,41758
13079,41032
13081,39180
13081,33756
13081,33194
13083,52038
13083,44798
13083,43163
13085,70084
13085,57607
13085,62284
13087,42535
13087,37516
13087,36934
13089,72491
13089,57856
13089,55876
13091,40745
13091,37835
13091,35290
13093,41295
13093,34971
13093,n/a
13095,45655
13095,36545
13095,34541
13097,73953
13097,62929
13097,59333
13099,37825
13099,30340
13099,n/a
13101,38153
13101,n/a
13101,34315
13103,68636
13103,64114
13103,64279
13105,42393
13105,34413
13105,35207
13107,35986
13107,34032
13107,33089
13109,37557
13109,45966
13109,38736
13111,45180
13111,38472
13111,43344
13113,105122
13113,92634
13113,84861
13115,52563
13115,46270
13115,46096
13117,101673
13117,98706
13117,96445
13119,47426
13119,41394
13119,39246
13121,69840
13121,63895
13121,61336
13123,51862
13123,41397
13123,46211
13125,43897
13125,41856
13125,45273
13127,57212
13127,56716
13127,47546
13129,57310
13129,46101
13129,43452
13131,42293
13131,36333
13131,39462
13133,49411
13133,43393
13133,45069
13135,89345
13135,71230
13135,64496
13137,53605
13137,45285
13137,44474
13139,66279
13139,57323
13139,55622
13141,32474
13141,25107
13141,29268
13143,46720
13143,43937
13143,43663
13145,70492
13145,75510
13145,69539
13147,48458
13147,40685
13147,41216
13149,48760
13149,48094
13149,44897
13151,84581
13151,72023
13151,64752
13153,64404
13153,62080
13153,55965
13155,44656
13155,43239
13155,n/a
13157,59550
13157,58033
13157,57999
13159,58873
13159,47413
13159,42067
13161,40306
13161,37101
13161,37267
13163,38550
13163,32977
13163,29640
13165,35458
13165,n/a
13165,n/a
13167,35197
13167,31105
13167,36423
13169,63907
13169,57144
13169,55110
13171,54736
13171,42292
13171,41157
13173,43053
13173,n/a
13173,n/a
13175,47243
13175,43131
13175,35202
13177,71728
13177,67390
13177,65018
13179,49408
13179,48082
13179,43493
13181,47157
13181,41011
13181,n/a
13183,45221
13183,n/a
13183,53083
13185,47423
13185,44050
13185,39911
13187,57806
13187,48893
13187,43039
13189,47110
13189,39902
13189,40469
13191,44427
13191,44026
13191,43285
13193,35752
13193,31492
13193,30851
13195,53644
13195,46582
13195,47653
13197,43014
13197,n/a
13197,39015
13199,47036
13199,42641
13199,36368
13201,40343
13201,37402
13201,37255
13205,39230
13205,40785
13205,34122
13207,65226
13207,54417
13207,50666
13209,44631
13209,39640
13209,40308
13211,59403
13211,51623
13211,59572
13213,54602
13213,43070
13213,41617
13215,51358
13215,46568
13215,43239
13217,66230
13217,58996
13217,52784
13219,81485
13219,83774
13219,77388
13221,52509
13221,44301
13221,43938
13223,76983
13223,70249
13223,63669
13225,50848
13225,46211
13225,43645
13227,61082
13227,56274
13227,61542
13229,44121
13229,41758
13229,39863
13231,65485
13231,59956
13231,52377
13233,47712
13233,43543
13233,40652
13235,47073
13235,n/a
13235,38750
13237,54543
13237,46791
13237,48340
13239,38188
13239,n/a
13239,n/a
13241,50031
13241,38766
13241,39297
13243,32475
13243,n/a
13243,30640
13245,48831
13245,42682
13245,39430
13247,79106
13247,62847
13247,54175
